model,scenario,final_delta_seq,final_delta_legacy,final_p_action2,final_preferred_action,component_type,layer,head,component,contribution
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,8,0,L8H0,-0.10394287109375
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,8,1,L8H1,-0.10394287109375
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,8,2,L8H2,-0.10394287109375
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,8,3,L8H3,-0.10394287109375
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,8,4,L8H4,-0.10394287109375
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,8,5,L8H5,-0.10394287109375
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,8,6,L8H6,-0.10394287109375
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,8,7,L8H7,-0.10394287109375
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,9,0,L9H0,0.31201171875
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,9,1,L9H1,0.31201171875
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,9,2,L9H2,0.31201171875
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,9,3,L9H3,0.31201171875
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,9,4,L9H4,0.31201171875
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,9,5,L9H5,0.31201171875
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,9,6,L9H6,0.31201171875
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,9,7,L9H7,0.31201171875
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,10,0,L10H0,-1.333984375
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,10,1,L10H1,-1.333984375
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,10,2,L10H2,-1.333984375
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,10,3,L10H3,-1.333984375
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,10,4,L10H4,-1.333984375
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,10,5,L10H5,-1.333984375
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,10,6,L10H6,-1.333984375
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,10,7,L10H7,-1.333984375
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,11,0,L11H0,0.474609375
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,11,1,L11H1,0.474609375
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,11,2,L11H2,0.474609375
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,11,3,L11H3,0.474609375
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,11,4,L11H4,0.474609375
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,11,5,L11H5,0.474609375
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,11,6,L11H6,0.474609375
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,11,7,L11H7,0.474609375
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,12,0,L12H0,-1.3828125
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,12,1,L12H1,-1.3828125
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,12,2,L12H2,-1.3828125
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,12,3,L12H3,-1.3828125
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,12,4,L12H4,-1.3828125
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,12,5,L12H5,-1.3828125
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,12,6,L12H6,-1.3828125
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,12,7,L12H7,-1.3828125
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,13,0,L13H0,0.54296875
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,13,1,L13H1,0.54296875
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,13,2,L13H2,0.54296875
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,13,3,L13H3,0.54296875
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,13,4,L13H4,0.54296875
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,13,5,L13H5,0.54296875
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,13,6,L13H6,0.54296875
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,13,7,L13H7,0.54296875
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,14,0,L14H0,-0.1302490234375
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,14,1,L14H1,-0.1302490234375
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,14,2,L14H2,-0.1302490234375
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,14,3,L14H3,-0.1302490234375
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,14,4,L14H4,-0.1302490234375
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,14,5,L14H5,-0.1302490234375
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,14,6,L14H6,-0.1302490234375
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,14,7,L14H7,-0.1302490234375
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,15,0,L15H0,0.88525390625
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,15,1,L15H1,0.88525390625
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,15,2,L15H2,0.88525390625
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,15,3,L15H3,0.88525390625
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,15,4,L15H4,0.88525390625
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,15,5,L15H5,0.88525390625
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,15,6,L15H6,0.88525390625
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,15,7,L15H7,0.88525390625
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,16,0,L16H0,-0.8525390625
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,16,1,L16H1,-0.8525390625
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,16,2,L16H2,-0.8525390625
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,16,3,L16H3,-0.8525390625
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,16,4,L16H4,-0.8525390625
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,16,5,L16H5,-0.8525390625
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,16,6,L16H6,-0.8525390625
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,16,7,L16H7,-0.8525390625
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,17,0,L17H0,0.658203125
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,17,1,L17H1,0.658203125
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,17,2,L17H2,0.658203125
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,17,3,L17H3,0.658203125
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,17,4,L17H4,0.658203125
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,17,5,L17H5,0.658203125
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,17,6,L17H6,0.658203125
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,17,7,L17H7,0.658203125
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,18,0,L18H0,-1.6787109375
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,18,1,L18H1,-1.6787109375
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,18,2,L18H2,-1.6787109375
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,18,3,L18H3,-1.6787109375
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,18,4,L18H4,-1.6787109375
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,18,5,L18H5,-1.6787109375
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,18,6,L18H6,-1.6787109375
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,18,7,L18H7,-1.6787109375
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,19,0,L19H0,-0.650390625
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,19,1,L19H1,-0.650390625
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,19,2,L19H2,-0.650390625
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,19,3,L19H3,-0.650390625
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,19,4,L19H4,-0.650390625
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,19,5,L19H5,-0.650390625
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,19,6,L19H6,-0.650390625
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,19,7,L19H7,-0.650390625
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,20,0,L20H0,-0.0958251953125
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,20,1,L20H1,-0.0958251953125
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,20,2,L20H2,-0.0958251953125
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,20,3,L20H3,-0.0958251953125
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,20,4,L20H4,-0.0958251953125
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,20,5,L20H5,-0.0958251953125
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,20,6,L20H6,-0.0958251953125
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,20,7,L20H7,-0.0958251953125
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,21,0,L21H0,-0.2265625
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,21,1,L21H1,-0.2265625
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,21,2,L21H2,-0.2265625
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,21,3,L21H3,-0.2265625
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,21,4,L21H4,-0.2265625
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,21,5,L21H5,-0.2265625
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,21,6,L21H6,-0.2265625
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,21,7,L21H7,-0.2265625
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,22,0,L22H0,0.347900390625
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,22,1,L22H1,0.347900390625
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,22,2,L22H2,0.347900390625
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,22,3,L22H3,0.347900390625
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,22,4,L22H4,0.347900390625
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,22,5,L22H5,0.347900390625
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,22,6,L22H6,0.347900390625
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,22,7,L22H7,0.347900390625
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,23,0,L23H0,0.328125
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,23,1,L23H1,0.328125
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,23,2,L23H2,0.328125
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,23,3,L23H3,0.328125
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,23,4,L23H4,0.328125
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,23,5,L23H5,0.328125
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,23,6,L23H6,0.328125
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,23,7,L23H7,0.328125
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,24,0,L24H0,-0.0523681640625
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,24,1,L24H1,-0.0523681640625
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,24,2,L24H2,-0.0523681640625
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,24,3,L24H3,-0.0523681640625
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,24,4,L24H4,-0.0523681640625
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,24,5,L24H5,-0.0523681640625
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,24,6,L24H6,-0.0523681640625
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,24,7,L24H7,-0.0523681640625
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,25,0,L25H0,-0.131591796875
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,25,1,L25H1,-0.131591796875
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,25,2,L25H2,-0.131591796875
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,25,3,L25H3,-0.131591796875
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,25,4,L25H4,-0.131591796875
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,25,5,L25H5,-0.131591796875
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,25,6,L25H6,-0.131591796875
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,25,7,L25H7,-0.131591796875
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,mlp,0,-1,L0_MLP,2.05859375
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,mlp,1,-1,L1_MLP,1.0078125
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,mlp,2,-1,L2_MLP,-3.796875
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,mlp,3,-1,L3_MLP,3.49609375
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,mlp,4,-1,L4_MLP,-3.693359375
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,mlp,5,-1,L5_MLP,-3.173828125
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,mlp,6,-1,L6_MLP,1.478515625
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,mlp,7,-1,L7_MLP,-11.046875
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,mlp,8,-1,L8_MLP,9.7578125
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,mlp,9,-1,L9_MLP,-10.890625
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,mlp,10,-1,L10_MLP,7.125
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,mlp,11,-1,L11_MLP,10.6640625
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,mlp,12,-1,L12_MLP,5.22265625
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,mlp,13,-1,L13_MLP,1.94921875
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,mlp,14,-1,L14_MLP,-4.97265625
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,mlp,15,-1,L15_MLP,4.46484375
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,mlp,16,-1,L16_MLP,2.0
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,mlp,17,-1,L17_MLP,0.28369140625
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,mlp,18,-1,L18_MLP,-4.12890625
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,mlp,19,-1,L19_MLP,-1.7412109375
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,mlp,20,-1,L20_MLP,-3.22265625
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,mlp,21,-1,L21_MLP,0.348388671875
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,mlp,22,-1,L22_MLP,-4.37109375
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,mlp,23,-1,L23_MLP,-4.0859375
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,mlp,24,-1,L24_MLP,-2.380859375
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,mlp,25,-1,L25_MLP,1.880859375
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,0,0,L0H0,0.38623046875
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,0,1,L0H1,0.38623046875
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,0,2,L0H2,0.38623046875
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,0,3,L0H3,0.38623046875
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,0,4,L0H4,0.38623046875
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,0,5,L0H5,0.38623046875
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,0,6,L0H6,0.38623046875
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,0,7,L0H7,0.38623046875
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,1,0,L1H0,0.77392578125
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,1,1,L1H1,0.77392578125
PT4_COREDe,DC_exploited,-3.367192358459409,-3.7578125,0.03333666757686878,action1,head,1,2,L1H2,0.77392578125
